history,loss,accuracy,val_loss,val_accuracy
1,0.08604836463928223,0.24819999933242798,0.07680018991231918,0.38600000739097595
2,0.06785380840301514,0.5371817946434021,0.057220496237277985,0.6340000033378601
3,0.049692004919052124,0.6861636638641357,0.042980391532182693,0.7350000143051147
4,0.03955581411719322,0.7478908896446228,0.03530554845929146,0.7748000025749207
5,0.03400276228785515,0.7727090716362,0.031008590012788773,0.7929999828338623
6,0.030888419598340988,0.7889090776443481,0.028607608750462532,0.8051999807357788
7,0.028914686292409897,0.8001454472541809,0.02692314051091671,0.8216000199317932
8,0.027458881959319115,0.8136909008026123,0.025533262640237808,0.8285999894142151
9,0.026257725432515144,0.825072705745697,0.024837622418999672,0.8325999975204468
10,0.025228304788470268,0.8342182040214539,0.02362009510397911,0.847000002861023
